#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
2000,-1785.984473439974,282.89551214767437,1.3003777974318524,1.0352235493403228
3000,-1765.7798427554335,324.55212350121366,1.3707646557789563,0.9820662600727524
4000,-1850.7300335777654,336.3422305637955,1.3525533785755302,0.9952891621612103
5000,-1860.7959312780986,275.9357890847964,1.3734434280657748,0.9801508321581079
6000,-1830.5088384056908,302.6713555357044,1.316590049778712,1.022475993318509
7000,-1806.1050252652167,290.9948253204262,1.3066543033830142,1.0302508593553783
8000,-1771.7003500839855,295.8552875266055,1.277467880096636,1.053789093185591
9000,-1803.7879178158946,292.1434333934846,1.3677479070733776,0.9842323369525237
10000,-1795.0596734184364,296.5587711363751,1.4631225276295037,0.9200744937758472
11000,-1875.2941104027013,302.5683637976266,1.4339492960491826,0.9387931098050355
12000,-1842.255447140018,292.21516469210843,1.4214014860833795,0.9470805624736673
13000,-1785.858104254501,306.00074355339547,1.3744119202363987,0.9794601597381449
14000,-1785.1145345899313,289.80569140061743,1.3811099236636135,0.9747100472421433
15000,-1856.1164103824813,295.39498649112807,1.3048164993260802,1.0317019440174446
16000,-1827.831728185356,272.2104629944789,1.2943184537215522,1.0400699418833743
17000,-1763.1446751802214,283.63561748598636,1.311967330582406,1.026078689278916
18000,-1771.6759590168367,311.1794738748948,1.3662745419186428,0.9852937148710441
19000,-1809.6071743967332,266.3381468276809,1.3780652427255766,0.9768635600142102
20000,-1771.3243639610228,273.75819841982656,1.3376081721991862,1.0064096100186586
21000,-1811.0216428001804,252.6860778115903,1.4145979932133814,0.9516355356073889
22000,-1809.503837432916,272.68605057730593,1.3633266428597728,0.9874241994691344
23000,-1833.019706725565,283.1131529908735,1.3894946966954178,0.9688282525599602
24000,-1778.1676326510496,375.18039849666405,1.4304577146312003,0.9410845949317874
25000,-1696.0595294756167,337.07458265327193,1.3643515383482279,0.9866824503093449
26000,-1724.7051129387037,299.1536900427446,1.435128094368695,0.9380219955438414
27000,-1835.7164531560811,337.20644287105654,1.419479893108949,0.948362654149572
28000,-1784.110455395552,270.4259235541649,1.3752775319228443,0.9788436789617218
29000,-1727.9581031732705,300.412300770381,1.3957184313695468,0.9645080903745139
30000,-1790.6001870633263,295.01076077312547,1.330543921455606,1.0117529359482098
31000,-1783.1765078380195,322.10960267390595,1.4136079068153338,0.9523020580533662
32000,-1817.6157053653696,311.2974772224201,1.3374349779206127,1.006539937391005
33000,-1887.491730581809,299.05193552522564,1.3244012877993068,1.016445492270427
34000,-1868.8658526589606,276.6385578560209,1.3608581442174104,0.9892153158365402
35000,-1777.64149192275,295.183779194835,1.4726220409159503,0.9141393253244039
36000,-1778.2595392950316,299.849887798112,1.3822372067198552,0.9739151228140762
37000,-1766.8514268249855,340.9430414153548,1.3605814435094834,0.9894164920171281
38000,-1790.5436509852298,337.8885088182628,1.4055738927078427,0.9577452497693523
39000,-1837.7115168407145,313.95266251690134,1.3296895089420862,1.0124030534104076
40000,-1777.268980626548,314.71157360770803,1.4736250251280572,0.9135171403754975
41000,-1755.9924238099047,294.6417666148921,1.3669788636986275,0.9847860524327325
42000,-1863.6492835010613,321.1594722722794,1.3796693073741584,0.9757278151696078
43000,-1828.1510131094728,343.85078466658524,1.3302416209322931,1.011982859172072
44000,-1791.0502904015702,268.6051747921614,1.3947097301311175,0.9652056552399603
45000,-1795.595338714662,301.2680724840516,1.3112191075886406,1.026664202153376
46000,-1816.3771172628185,305.46296501714295,1.3609261285339047,0.9891659001293222
47000,-1856.473285899814,278.0981756837873,1.343291790977062,1.0021513776702153
48000,-1836.6190177323406,280.69221478887044,1.3038603333755672,1.0324585267929889
49000,-1838.267698638836,315.0559333299249,1.3505100930459042,0.9967950079548176
50000,-1761.760233544741,337.7986041243187,1.3845818063620692,0.9722659309512306
51000,-1708.4806800505175,306.7102483032182,1.4333238129740729,0.9392027863874641
